08 17 77 ff 25 fd e2 f0 17 ff b9 00 19 ff f9 00 
07 eb 76 ff 1b fd e0 f0 0b ff b8 00 1c ff fc 00 
07 b4 e9 ff 22 fd e0 ef f5 ff bb 00 18 ff fb 00 
07 79 11 ff 21 fd d5 f0 20 ff bc 00 18 ff fb 00 
07 2b da ff 08 fd dd ef f5 ff bd 00 19 ff fb 00 
06 e6 ae ff 2d fd c4 f0 0b ff bb 00 19 ff fb 00 
06 a4 43 fe e1 fd ac ef f0 ff bc 00 19 ff fa 00 
06 66 58 fe f0 fd ab f0 07 ff aa 00 23 ff fb 00 
06 38 b6 ff 79 fd c7 ef 94 ff a5 00 2e ff fc 00 
06 1c 18 fe c9 fd ca f0 a3 ff 98 00 37 ff ff 00 
06 1b 76 ff 8e fd d8 ef a7 ff 95 00 37 ff fe 00 
06 24 f9 ff 16 fd fd ef eb ff bd 00 31 ff f9 00 
06 30 56 ff 20 fd ee ef f5 ff 9b 00 0b ff ff 00 
06 3b 3f ff 0c fd ec f0 30 ff d0 00 25 ff f8 00 
06 46 0f ff 7f fd b5 ef be ff d8 00 3b ff f7 00 
06 4d 8c ff 0c fd e9 ef fd ff d5 00 27 ff f7 00 
06 49 f6 ff 27 fd d3 ef b7 ff b2 00 00 ff fd 00 
06 44 ba ff 19 fd e7 f0 1d ff cc 00 0d ff fb 00 
06 3e 77 ff 1f fd d5 f0 34 ff d6 00 15 ff fb 00 
06 35 72 ff 1f fd d6 f0 04 ff d5 00 19 ff fa 00 
06 31 03 ff 11 fd cc ef fb ff c4 00 17 ff f9 00 
06 24 a1 ff 23 fd d7 ef f4 ff b5 00 17 ff fe 00 
06 1b 49 ff 2e fd e5 ef f6 ff b7 00 1d ff fd 00 
06 14 99 ff 26 fd e6 ef ec ff bf 00 1d ff fb 00 
06 0c bd ff 1e fd d2 ef da ff c5 00 18 ff f9 00 
06 0a 36 ff 16 fd be ef f6 ff c2 00 19 ff fd 00 
06 03 d9 ff 31 fd d4 ef ff ff bd 00 18 ff fc 00 
06 01 ec ff 16 fd df f0 00 ff bf 00 19 ff fc 00 
06 01 47 ff 1f fd c9 ef f0 ff bd 00 19 ff f9 00 
05 fe 89 ff 33 fd d6 ef ff ff be 00 1d ff fb 00 
05 fe c7 ff 1d fd ca f0 0e ff b8 00 1a ff fb 00 
05 fb ce ff 2b fd cc ef ec ff bb 00 18 ff fa 00 
05 fc 3a ff 12 fd d5 f0 18 ff c1 00 19 ff fc 00 
05 fa e5 ff 1b fd d8 f0 09 ff b9 00 19 ff fc 00 
05 f7 f2 ff 30 fd cd ef f3 ff bd 00 1b ff fc 00 
05 f7 ce ff 2d fd cb ef f5 ff ba 00 1b ff fd 00 
05 f3 78 ff 27 fd d9 f0 0b ff b8 00 1b ff fd 00 
05 f2 ea ff 1b fd e9 f0 0b ff b9 00 1e ff fe 00 
05 ef db ff 27 fd db ef ef ff ba 00 1b ff fd 00 
05 ed 20 ff 18 fd d2 ef eb ff b6 00 18 ff fd 00 
05 ec 08 ff 1f fd d9 f0 10 ff ba 00 1d ff fb 00 
05 e7 2c ff 33 fd da ef ec ff b6 00 1b ff fd 00 
05 e5 95 ff 27 fd c8 f0 21 ff b3 00 1d ff fe 00 
05 e1 93 ff 34 fd d9 f0 12 ff b5 00 1f ff fc 00 
05 df c0 ff 1f fd c9 f0 0c ff b2 00 1f ff fe 00 
05 e0 12 ff 39 fd d4 ef e8 ff b4 00 1a ff fe 00 
05 dd de ff 1b fd cd ef ec ff bc 00 1c ff fd 00 
05 df 0d ff 21 fd db f0 05 ff b9 00 1a ff fc 00 
05 dd 37 ff 23 fd d6 f0 0c ff b7 00 15 ff fc 00 
05 dd 52 ff 20 fd ed ef fb ff b8 00 17 ff fd 00 
05 df 1b ff 1c fd dd ef ed ff bf 00 1b ff fb 00 
05 de 73 ff 2b fd c7 f0 1e ff bd 00 1b ff fc 00 
05 e1 60 ff 35 fd dd f0 02 ff b7 00 17 ff fe 00 
05 e0 ac ff 21 fd d1 f0 03 ff bb 00 1a ff fa 00 
05 e1 e8 ff 22 fd c4 ef fe ff bd 00 1c ff fa 00 
05 e3 bb ff 1f fd c6 ef f7 ff b6 00 1a ff fa 00 
05 f7 72 ff 31 fd e0 ef f1 ff cc 00 25 ff f7 00 
06 10 8e ff 29 fd c2 f0 08 ff ca 00 1d ff fa 00 
06 22 85 ff 22 fd cd ef df ff ba 00 14 ff fa 00 
06 4a 76 ff 3a fd d0 f0 02 ff bb 00 14 ff fc 00 
06 9f 34 ff 2e fd c9 ef f7 ff c6 00 19 ff f9 00 
07 45 88 ff 2e fd da f0 0e ff cd 00 1d ff f6 00 
08 9d 3c ff 21 fd d5 f0 04 ff cd 00 1b ff fb 00 
0b af a4 ff 2e fd dd f0 0c ff c4 00 1b ff fc 00 
12 40 c0 fe fd fd d4 f0 07 ff cb 00 19 ff fc 00 
1b 8f ec ff 3e fd bb ef e2 ff d4 00 1b ff f9 00 
1d 58 80 ff 16 fd c7 ef f8 ff d3 00 1b ff f8 00 
